M,N,K,q_dtype_w
8192,9216,2048,torch.float8_e4m3fn
931,1024,2048,torch.float8_e4m3fn
931,12288,2048,torch.float8_e4m3fn
931,2048,4096,torch.float8_e4m3fn
931,2048,512,torch.float8_e4m3fn
931,9216,2048,torch.float8_e4m3fn
96,1024,2048,torch.float8_e4m3fn
96,12288,2048,torch.float8_e4m3fn
96,2048,4096,torch.float8_e4m3fn
96,2048,512,torch.float8_e4m3fn
96,9216,2048,torch.float8_e4m3fn
